sensor_index,name,location_type,latitude,longitude,altitude
263837,영남대학교 기계관 E29동,0,35.825897,128.75385,187
2394,"Yongsan-gu, Seoul",0,37.53217,126.9906,136
5302,SCH Test2,0,36.7698,126.93044,237
5314,dj05_OUT,0,37.0165,126.540245,54
5330,신창면행정복지센터,0,36.80372,126.93623,70
5390,A74D,0,37.524387,126.6656,22
5392,sch_A4,0,35.17116,129.1272,18
5406,sc03_04_out,0,36.14885,126.50159,50
269317,U.S. Village,0,36.91911,127.048,58
10046,mob_outside,0,35.24362,126.830185,191
10060,Air-Safety Cafe 1st_outside,0,35.236828,126.835785,118
15081,WhiteVilla_Out,0,37.489525,126.98633,40
15087,Air-Safety Bunker 1st_outside,0,35.170353,127.26275,379
281396,NASA_AERONET_Hankuk_UFS,0,37.33888,127.26642,373
23369,gcfarm,0,37.419594,126.99919,260
27899,HeungDuk,0,37.279526,127.078835,180
28949,Air Safety House_namyeon_outside,0,35.244656,126.83153,182
29745,sc01_1_out,0,36.08045,126.685875,26
29747,화덕보건진료소,0,36.761234,127.3953,380
29749,br08_out,0,36.432945,126.52432,135
30025,SCH Test5,0,36.769882,126.93041,231
30295,outsidepoit,0,35.212254,126.82519,108
30309,KH_3,0,35.253876,126.835785,146
30555,Air Safety study Cafe_1_outside,0,35.224792,126.834915,117
30607,아가페치과 실외,0,37.5682,126.9977,68
30657,bada1st_outside,0,35.239136,126.83141,156
30687,building,0,35.239456,126.83151,159
31157,Air-Safety Cafe 2nd_outside,0,35.349396,129.32365,44
31177,Air Safety Beverly Hills Outside,0,35.2285,126.8431,104
31457,lineblock_outside,0,35.23918,126.83124,153
34175,Jedi-PurpleAir,0,37.33912,127.081474,348
34355,Daechi,0,37.50079,127.06113,129
37719,Osan AB,0,37.07918,127.03796,206
39461,IntuseerTestSensor,0,35.871975,128.62477,173
308146,NASA_AERONET_Hankuk_UFS,0,37.33888,127.26642,373
46677,SCHKCLout3,0,36.89854,127.523926,247
46885,병천아우네도서관,0,36.766266,127.303085,224
46907,성환읍행정복지센터,0,36.918144,127.13389,106
