temperature_2m_max,temperature_2m_min,temperature_2m_mean,relative_humidity_2m_mean,precipitation_sum,windgusts_10m_max,surface_pressure_mean,et0_fao_evapotranspiration,date,windspeed_10m_mean,winddirection_10m_prevailing,sensor_index
33.1,23.6,27.8,75,0.0,29.9,1000.2,5.04,2016-08-19,6.134868031739531,83.99283882698032,263837
32.9,23.4,27.4,73,0.0,35.6,1000.0,5.32,2016-08-20,8.062877719393478,64.99396494737672,263837
33.1,22.7,27.4,72,0.0,37.1,999.2,4.98,2016-08-21,8.382921252421742,57.48974457160791,263837
33.4,22.9,27.7,73,0.0,35.6,999.6,4.71,2016-08-22,5.638176125992961,56.211794449260154,263837
30.4,24.0,27.0,74,0.1,32.0,1000.2,3.94,2016-08-23,6.4897925421760965,84.55345019675833,263837
32.4,21.4,26.6,70,0.0,34.9,1000.3,5.19,2016-08-24,7.834571009398455,73.23430616384321,263837
35.3,21.5,28.2,66,0.0,28.4,998.3,5.23,2016-08-25,3.09388765909034,210.84258374748148,263837
26.6,21.2,24.4,71,0.8,51.8,1000.9,3.0,2016-08-26,10.412588277010366,43.398870922441695,263837
27.4,20.5,23.3,57,0.8,47.2,1002.0,5.27,2016-08-27,14.00442602961263,60.09309571111579,263837
21.1,18.1,19.4,90,38.9,45.0,995.9,0.88,2016-08-28,11.043893725949161,18.218746330338544,263837
24.4,17.1,20.1,73,0.5,49.0,993.1,3.4,2016-08-29,12.21263527890298,334.87350996689577,263837
25.8,15.6,20.8,68,0.0,55.4,986.0,3.88,2016-08-30,13.378605287245895,272.7240734541647,263837
27.6,19.5,22.8,60,0.5,78.1,985.8,5.18,2016-08-31,20.664842571111368,244.38510370130868,263837
29.7,21.4,25.0,70,0.3,54.7,995.8,4.88,2016-09-01,15.02026662267761,203.60988170318055,263837
23.0,20.8,21.7,96,83.3,35.6,1000.8,0.44,2016-09-02,5.444710093400228,103.73752757446837,263837
25.3,20.0,22.2,97,56.0,40.0,1001.8,0.73,2016-09-03,3.3452484793900994,88.12148699607971,263837
27.9,20.6,23.8,92,2.5,29.5,1003.5,2.39,2016-09-04,5.639470234870844,44.68725971169804,263837
25.7,22.2,23.8,95,6.5,18.4,1002.9,1.57,2016-09-05,1.7274933036746531,56.19160959703643,263837
28.1,22.1,24.5,87,0.0,17.6,1002.0,2.56,2016-09-06,2.3060481803573616,277.3996305934412,263837
28.9,20.2,24.0,81,0.3,23.0,998.8,2.92,2016-09-07,2.699702176213564,318.6361077592241,263837
27.6,19.6,23.1,79,1.2,28.4,999.4,3.63,2016-09-08,3.2226849919706746,326.004555701296,263837
26.9,19.5,22.7,85,1.1,19.8,1002.4,3.08,2016-09-09,2.734615776189636,102.67398350200989,263837
24.2,19.2,21.7,92,2.4,16.6,1005.4,1.55,2016-09-10,2.7945025650147213,84.7573481068117,263837
26.5,18.3,22.4,85,0.2,20.5,1007.7,2.63,2016-09-11,4.635575615379946,51.85422407425249,263837
22.8,18.6,21.1,94,12.8,33.8,1009.5,1.16,2016-09-12,5.4764908818343185,22.16006950817044,263837
25.6,17.4,21.3,85,0.0,23.0,1010.7,2.58,2016-09-13,5.457235190606632,43.59923127566008,263837
26.5,17.8,22.2,83,0.0,19.8,1010.6,2.82,2016-09-14,2.8680813735949893,88.53008155844573,263837
27.2,19.5,23.0,85,0.3,17.3,1009.3,2.87,2016-09-15,1.713536100510161,117.4756362529391,263837
23.7,20.6,21.9,95,13.0,17.3,1008.1,0.89,2016-09-16,1.2590731478175416,351.95887806380273,263837
21.5,19.3,20.4,97,75.6,51.1,1003.6,0.45,2016-09-17,9.361367726452938,45.07291188044789,263837
21.6,19.6,20.4,92,2.3,36.0,1003.3,0.83,2016-09-18,9.908316507820214,36.711707290496584,263837
21.5,18.9,19.9,81,0.1,53.3,1004.2,1.98,2016-09-19,14.894536425140622,42.99175963774107,263837
22.0,14.3,18.8,66,0.0,58.0,1007.4,4.03,2016-09-20,14.930805386181914,32.03200268285365,263837
22.0,13.0,17.8,75,0.0,38.9,1012.7,2.69,2016-09-21,7.46516999942655,35.39397185055423,263837
22.0,16.3,18.7,83,0.2,31.7,1010.8,1.68,2016-09-22,5.610024401520304,28.98919574867379,263837
24.0,14.9,19.3,85,0.0,24.5,1010.0,2.6,2016-09-23,4.331792981952246,50.00183241585503,263837
25.5,16.4,20.5,83,0.0,19.8,1009.1,2.93,2016-09-24,4.220706472883832,77.30848273081983,263837
25.8,16.6,20.9,82,0.0,12.2,1009.4,2.38,2016-09-25,2.8705308596405423,43.0693653009643,263837
26.3,17.3,21.7,91,0.8,15.1,1009.4,1.77,2016-09-26,3.1231655375562397,71.19341483332984,263837
29.0,20.5,24.2,88,0.2,23.4,1008.3,2.77,2016-09-27,0.7403781357705027,241.35703131601014,263837
23.8,19.9,22.0,93,18.7,30.2,1006.8,1.37,2016-09-28,3.713341773162683,6.417976267312845,263837
19.5,16.3,18.0,84,6.4,41.8,1009.7,1.34,2016-09-29,10.444073560817223,61.193802480317466,263837
17.8,15.6,16.7,92,14.0,15.5,1008.9,0.57,2016-09-30,3.0001982708409445,40.240322558615716,263837
22.7,15.7,19.0,90,2.4,18.4,1010.4,1.65,2016-10-01,2.807195272801038,62.380860646087804,263837
25.5,18.2,21.5,89,2.4,25.6,1008.8,1.93,2016-10-02,3.556267452829414,126.93231651473613,263837
27.0,19.9,23.3,89,0.5,40.3,1002.9,2.07,2016-10-03,5.212956739552273,225.3390001579753,263837
24.8,18.7,20.9,86,0.0,47.2,1008.2,2.82,2016-10-04,10.928938394100737,56.956732285061804,263837
21.5,18.2,19.1,91,88.9,100.4,1001.4,0.75,2016-10-05,11.917806573134937,25.342628323751132,263837
23.8,14.4,19.4,80,0.0,24.8,1012.0,3.2,2016-10-06,5.508083420459835,3.054206376237654,263837
21.4,17.0,18.9,81,3.0,45.4,1013.7,1.89,2016-10-07,8.016126700311101,85.87499880563779,263837
18.6,13.9,17.1,89,46.8,46.4,1004.4,0.69,2016-10-08,3.916001067590373,295.31361241148693,263837
17.3,10.0,13.4,62,0.0,44.6,1009.4,3.19,2016-10-09,9.657930369605767,340.76725555601706,263837
18.6,9.3,14.1,76,0.0,25.2,1012.6,2.02,2016-10-10,4.873848642013764,26.284192153901227,263837
20.2,11.3,15.1,77,0.0,19.4,1012.1,2.1,2016-10-11,4.994714256511427,342.8959373393564,263837
20.6,10.5,15.2,74,0.0,24.1,1013.5,2.71,2016-10-12,5.551665464396883,2.085438000058888,263837
20.8,12.7,16.6,78,0.0,12.6,1015.1,2.23,2016-10-13,1.930028242882314,353.42723739778876,263837
22.2,11.5,16.6,70,0.0,14.8,1017.0,2.91,2016-10-14,3.696004789461824,42.39730430083643,263837
22.4,10.6,16.0,84,0.0,25.2,1018.0,2.45,2016-10-15,5.138855114786568,71.29254036895539,263837
18.4,11.8,15.8,96,31.8,25.9,1013.1,0.5,2016-10-16,2.9089693468458364,72.98133282609751,263837
23.5,14.9,18.4,86,0.3,22.7,1008.9,2.19,2016-10-17,4.069926836966464,319.84629454615083,263837
21.5,12.3,16.8,87,0.0,20.5,1011.9,1.6,2016-10-18,4.858930156032175,34.68357241917257,263837
21.9,13.4,17.4,81,0.0,19.4,1010.5,2.36,2016-10-19,3.1413457434795906,337.7094695980461,263837
22.7,11.6,16.9,77,0.0,40.7,1011.5,2.41,2016-10-20,8.151415436798436,34.6253280242943,263837
17.2,14.2,15.8,76,0.0,46.1,1013.4,1.47,2016-10-21,10.813359179177493,70.27704009962962,263837
19.5,13.9,16.1,80,0.1,26.3,1007.3,1.41,2016-10-22,5.470613987864469,42.37474222838341,263837
16.0,12.5,14.5,75,0.0,53.6,1008.4,1.35,2016-10-23,13.779824241865612,49.135277078061435,263837
